nw, it, time, err
1, 3, 0.0962954, 0.000337786
1, 3, 0.0942823, 0.000337786
1, 3, 0.0980179, 0.000337786
1, 3, 0.0966617, 0.000337786
1, 3, 0.0975702, 0.000337786
1, 3, 0.0982978, 0.000337786
