nw,it,upd_t,conv_t,latency,error
1,3,0.000178,3.8e-05,6.86165,5.29619e-05
2,3,0.000189,3.9e-05,3.51791,5.29619e-05
4,3,0.000188,4e-05,1.77824,5.29619e-05
20,3,0.000244,3.8e-05,0.393622,5.29619e-05
36,3,0.000247,4.5e-05,0.227506,5.29324e-05
52,3,0.000244,4.3e-05,0.189059,5.28535e-05
68,3,0.000256,4.2e-05,0.189312,5.29324e-05
84,3,0.000242,4.2e-05,0.189808,5.29324e-05
100,3,0.000251,4.1e-05,0.200842,5.29619e-05
116,3,0.000257,3.9e-05,0.241506,5.27744e-05
132,3,0.000256,4.6e-05,0.257249,5.28771e-05
148,3,0.000253,4.2e-05,0.272134,5.27335e-05
164,3,0.000247,4.3e-05,0.297101,5.26138e-05
180,3,0.000251,4.6e-05,0.305797,5.27032e-05
196,3,0.000248,4.9e-05,0.328018,5.29324e-05
212,3,0.000508,4.3e-05,0.367399,5.27227e-05
228,3,0.00025,4.1e-05,0.37937,5.26603e-05
240,3,0.000248,4.3e-05,0.395296,5.29619e-05
