nw,it,upd_t,conv_t,latency,error
1,3,3.9e-05,8e-06,0.064616,0.000564573
2,3,5.4e-05,4e-06,0.021303,0.000564573
4,3,6.1e-05,4e-06,0.011928,0.000564573
8,3,7.2e-05,4e-06,0.008441,0.000564573
12,3,0.000101,8e-06,0.007958,0.000564573
16,3,0.000106,8e-06,0.063247,0.000564573
