nw,it,upd_t,conv_t,latency,error
1,3,4.1e-05,6e-06,0.064908,0.000564573
2,3,4.7e-05,6e-06,0.034274,0.000564573
4,3,3.3e-05,4e-06,0.018566,0.000564573
8,3,4e-05,4e-06,0.016657,0.000564573
12,3,4.3e-05,3e-06,0.01568,0.00056252
16,3,3.3e-05,3e-06,0.012583,0.00056252
