nw,it,upd_t,conv_t,latency,error
1,3,6.1e-05,1.2e-05,0.255854,0.000210773
2,3,0.000145,1.2e-05,0.081539,0.000210773
4,3,9.2e-05,5e-06,0.045248,0.000210773
8,3,0.000144,1.1e-05,0.041978,0.000210773
12,3,0.000127,7e-06,0.028755,0.000210773
16,3,0.000167,1.1e-05,0.061295,0.000210773
