nw,it,upd_t,conv_t,latency,error
1,3,4.1e-05,9e-06,0.263392,0.000124961
2,3,0.000183,1.8e-05,0.182753,0.000124961
4,3,0.000155,8e-06,0.099356,0.000124961
8,3,0.000199,4e-05,0.068512,0.000124961
12,3,0.000185,9e-06,0.063033,0.000124961
16,3,0.000175,9e-06,0.093071,0.000124961
