nw,it,upd_t,conv_t,latency,error
1,3,6.3e-05,1.9e-05,0.255311,0.000210773
2,3,8.6e-05,4e-06,0.132912,0.000210773
4,3,4.7e-05,6e-06,0.071257,0.000210773
8,3,7.9e-05,5e-06,0.063065,0.000210773
12,3,4.4e-05,6e-06,0.057199,0.00021038
16,3,5.7e-05,8e-06,0.045068,0.000210773
