nw,it,upd_t,conv_t,latency,error
1,3,8.4e-05,2.1e-05,1.8332,5.29619e-05
2,3,0.000332,3.5e-05,0.859022,5.29619e-05
4,3,0.000382,4.1e-05,0.567015,5.29619e-05
8,3,0.000339,3e-05,0.322207,5.29619e-05
12,3,0.00046,4.5e-05,0.369276,5.29619e-05
16,3,0.000196,3.5e-05,0.377793,5.29619e-05
