nw,it,upd_t,conv_t,latency,error
1,3,9.1e-05,1.6e-05,0.5712,0.000124961
2,3,9e-05,8e-06,0.293978,0.000124961
4,3,6.2e-05,8e-06,0.158304,0.000124961
8,3,9.2e-05,9e-06,0.133652,0.000124961
12,3,6e-05,6e-06,0.126398,0.000124961
16,3,6.1e-05,8e-06,0.098026,0.000124826
