nw,it,upd_t,conv_t,latency,error
1,3,7.7e-05,1.9e-05,0.791644,0.000210773
2,3,8.1e-05,1.9e-05,0.405035,0.000210773
4,3,8.2e-05,1.9e-05,0.208363,0.000210773
20,3,9.9e-05,1.9e-05,0.059418,0.000210773
36,3,0.000111,2.1e-05,0.111037,0.000209167
52,3,0.000112,1.9e-05,0.087938,0.000209918
68,3,0.000116,1.9e-05,0.108288,0.00021038
84,3,0.000116,2e-05,0.123378,0.00021038
100,3,0.000117,2.2e-05,0.135084,0.000210773
116,3,0.000119,2.1e-05,0.182221,0.000209437
132,3,0.00012,2e-05,0.177113,0.000206321
148,3,0.000119,2.1e-05,0.206242,0.000207119
164,3,0.000118,1.8e-05,0.228449,0.00020442
180,3,0.00012,2.1e-05,0.216917,0.000206321
196,3,0.000121,2e-05,0.22719,0.00021038
212,3,0.000117,2.1e-05,0.256464,0.000209027
228,3,0.000124,2e-05,0.276883,0.000203129
240,3,0.00012,1.8e-05,0.311692,0.00020442
