nw,it,upd_t,conv_t,latency,error
1,3,0.000148,2.1e-05,0.800839,0.000210773
2,3,0.000458,1.7e-05,0.473257,0.000210773
4,3,0.000502,1.9e-05,0.362911,0.000210773
20,3,0.000755,1.8e-05,0.075413,0.000210773
36,3,0.000988,2e-05,0.043793,0.000210773
52,3,0.00124,1.7e-05,0.032427,0.000210773
68,3,0.001477,2.2e-05,0.026287,0.000210773
84,3,0.001244,3.3e-05,0.039868,0.000210773
100,3,0.002096,2e-05,0.022076,0.000210773
116,3,0.002245,1.9e-05,0.022455,0.000210773
132,3,0.002815,2.2e-05,0.023291,0.000210773
148,3,0.002722,2.1e-05,0.025073,0.000210773
164,3,0.002933,1.9e-05,0.0267,0.000210773
180,3,0.0027,3.4e-05,0.036418,0.000210773
196,3,0.003517,1.9e-05,0.03079,0.000210773
212,3,0.003678,2.1e-05,0.03855,0.000210773
228,3,0.004013,2.1e-05,0.038135,0.000210773
240,3,0.003275,3.2e-05,0.099349,0.000210773
