nw,it,upd_t,conv_t,latency,error
1,3,0.000186,2.6e-05,1.74233,0.000124961
2,3,0.000526,2.3e-05,1.0326,0.000124961
4,3,0.000588,2.3e-05,0.809632,0.000124961
20,3,0.00107,2.5e-05,0.165974,0.000124961
36,3,0.001294,2.4e-05,0.094907,0.000124961
52,3,0.001669,2.2e-05,0.068309,0.000124961
68,3,0.002059,2.6e-05,0.055234,0.000124961
84,3,0.002601,2.6e-05,0.046646,0.000124961
100,3,0.001378,2.4e-05,0.041027,0.000124961
116,3,0.000419,2.4e-05,0.03615,0.000124961
132,3,0.00355,2.5e-05,0.037915,0.000124961
148,3,0.004237,2.5e-05,0.03815,0.000124961
164,3,0.004303,2.4e-05,0.03868,0.000124961
180,3,0.005161,2.5e-05,0.04066,0.000124961
196,3,0.005295,5.2e-05,0.041033,0.000124961
212,3,0.005731,2.6e-05,0.043509,0.000124961
228,3,0.005815,2.3e-05,0.048341,0.000124961
240,3,0.024414,4.2e-05,0.134435,0.000124961
