nw,it,upd_t,conv_t,latency,error
1,3,0.000193,4.6e-05,1.78305,5.29619e-05
2,3,0.000206,4.6e-05,1.12207,5.29619e-05
4,3,0.000195,3.6e-05,0.654523,5.29619e-05
8,3,0.000186,3.8e-05,0.524565,5.29619e-05
12,3,0.000184,3.7e-05,0.507838,5.29619e-05
16,3,0.000162,3e-05,0.429399,5.29619e-05
