nw,it,upd_t,conv_t,latency,error
1,3,0.00028,1.1e-05,0.205056,0.000564573
2,3,0.000333,1.3e-05,0.10622,0.000564573
4,3,0.00036,1.2e-05,0.05484,0.000564573
20,3,0.000417,1.5e-05,0.037514,0.000564573
36,3,0.000369,1.4e-05,0.056215,0.000554677
52,3,0.000371,1.5e-05,0.071718,0.00056252
68,3,0.000375,1.4e-05,0.088534,0.00055404
84,3,0.000375,1.5e-05,0.106396,0.000553158
100,3,0.000369,1.4e-05,0.116976,0.000564573
116,3,0.000375,1.3e-05,0.136212,0.000561857
132,3,0.000373,1.5e-05,0.169022,0.000541226
148,3,0.000373,1.5e-05,0.17213,0.000541226
164,3,0.000374,1.3e-05,0.175212,0.000547108
180,3,0.000378,1.4e-05,0.19439,0.000535722
196,3,0.00038,1.5e-05,0.288844,0.000543379
212,3,0.000375,1.5e-05,0.323203,0.000539129
228,3,0.000371,1.5e-05,0.278767,0.00052167
240,3,0.000371,1.4e-05,0.269721,0.000524924
